"","x"
"710",0.142433966188538
"711",0.00430250543042202
"712",0
"713",0.000660079673767979
"714",0.000103451501649936
"715",0
"716",0.0189997048567349
"717",0
"718",0.0173559776842333
"719",0.202475482328197
"720",0.000145611333471651
"721",0.389893683740471
"722",3.6215421815913e-05
"723",0.0217452576885566
"724",0.000499280040260109
"725",0
"726",3.34377347628289e-05
"727",9.82565766850024e-05
"728",0.000147049612666392
"729",0.0971458605917924
"730",0.00396961339953817
"731",0.851189982411959
"732",0
"733",0
"734",0.00117028593782123
"735",0.626765503014856
"736",0
"737",0
"738",0
"739",0
"740",0
"741",0
"742",0
"743",7.39286821668077e-05
"744",0
"745",6.98465081385709e-05
"746",0.00493267339791175
"747",0
"748",0
"749",0
"750",0
"751",0
"752",0
"753",0
"754",5.55070198354824e-05
"755",0.000152385839582694
"756",0.0679783672104217
"757",0.00624451171593988
"758",9.75630298251675e-05
"759",0
"760",0.00487980803582176
"761",0
"762",0
"763",0
"764",0
"765",0
"766",0
"767",4.07458981717099e-05
"768",0
"769",0.252192901054625
"770",0.00149919841348944
"771",0.000163004625459461
"772",0.0899265432795441
"773",0
"774",0.387261378358466
"775",0.0123485777308156
"776",0.195163023403832
"777",0.0075763770376175
"778",0.999990405810645
"779",0.0100561522038687
"780",0.000347733886629661
"781",4.11103418538076e-05
"782",0
"783",0.999991428039216
"784",0.549329929016269
"785",0
"786",0
"787",6.15954169977947e-05
"788",0.558700457478221
"789",0.000388871597490258
"790",2.14185159044153e-05
"791",0.00407279529951108
"792",0.0814979021247407
"793",0.000780741388399757
"794",0.00573326862247183
"795",0.0131765748601921
"796",0
"797",0.00161738082643742
"798",0.000166296389083622
"799",4.02306757753864e-05
"800",0
"801",0
"802",0
"803",0
"804",0
"805",0
"806",0
"807",0
"808",0
"809",0
"810",0
"811",0
"812",0
"813",0
"814",0
"815",0
"816",0
"817",0
"818",0
"819",0
"820",0
"821",0
"822",0
"823",0
"824",0
"825",0
"826",0
"827",0
"828",0
"829",0
"830",0
"831",0
"832",0
"833",0
"834",0
"835",0
"836",0
"837",0
"838",0
"839",0
"840",0.00120222764990884
"841",0
"842",0
"843",0
"844",0
"845",2.47023127300134e-05
"846",0.000471230361909967
"847",0
"848",0.000121727238101636
"849",0.00027741089126312
"850",0
"851",0
"852",0.000172550344314886
"853",1.61737906776287e-05
"854",0
"855",0
"856",0
"857",0
"858",0
"859",0.0277344754920389
"860",4.53890611615262e-05
"861",0.0107893546837009
"862",0.000751656706614405
"863",0.238393336212652
"864",0.0103532027363827
"865",0.243516125934985
"866",0
"867",0
"868",0.0148105306809281
"869",0.999991122713992
"870",0
"871",0.0169500544794906
"872",0
